loan_size,interest_rate,borrower_income,debt_to_income,num_of_accounts,derogatory_marks,total_debt,loan_status
9000,6.939,45900,0.346405229,3,0,15900,0
10200,7.449,50700,0.408284024,4,1,20700,0
9900,7.338,49700,0.39637827,4,0,19700,0
7400,6.255,39500,0.240506329,2,0,9500,0
11200,7.887,54800,0.452554745,5,1,24800,0
7000,6.108,38100,0.212598425,1,0,8100,0
7800,6.425,41100,0.270072993,2,0,11100,0
10900,7.76,53600,0.440298507,5,1,23600,0
8700,6.824,44800,0.330357143,3,0,14800,0
11100,7.838,54400,0.448529412,5,1,24400,0
7100,6.134,38300,0.216710183,1,0,8300,0
7800,6.419,41000,0.268292683,2,0,11000,0
9500,7.175,48100,0.376299376,4,0,18100,0
7800,6.449,41300,0.273607748,2,0,11300,0
8600,6.778,44400,0.324324324,3,0,14400,0
9800,7.305,49300,0.39148073,4,0,19300,0
10000,7.355,49800,0.397590361,4,0,19800,0
9600,7.2,48400,0.380165289,4,0,18400,0
12800,8.572,61300,0.510603589,7,1,31300,0
11600,8.064,56500,0.469026549,5,1,26500,0
8200,6.615,42900,0.300699301,2,0,12900,0
9400,7.11,47500,0.368421053,3,0,17500,0
9400,7.118,47600,0.369747899,3,0,17600,0
8600,6.781,44400,0.324324324,3,0,14400,0
10300,7.508,51200,0.4140625,4,1,21200,0
8700,6.822,44800,0.330357143,3,0,14800,0
9000,6.929,45800,0.344978166,3,0,15800,0
9200,7.022,46700,0.357601713,3,0,16700,0
8800,6.876,45300,0.337748344,3,0,15300,0
7800,6.438,41200,0.27184466,2,0,11200,0
9000,6.959,46100,0.349240781,3,0,16100,0
8100,6.58,42500,0.294117647,2,0,12500,0
7200,6.193,38900,0.228791774,1,0,8900,0
9800,7.283,49100,0.389002037,4,0,19100,0
7600,6.373,40600,0.261083744,2,0,10600,0
9200,7.043,46900,0.360341151,3,0,16900,0
10100,7.431,50500,0.405940594,4,1,20500,0
8600,6.784,44400,0.324324324,3,0,14400,0
8400,6.679,43400,0.30875576,3,0,13400,0
10400,7.543,51600,0.418604651,4,1,21600,0
9600,7.225,48600,0.382716049,4,0,18600,0
8100,6.56,42300,0.290780142,2,0,12300,0
10300,7.523,51400,0.416342412,4,1,21400,0
9000,6.932,45800,0.344978166,3,0,15800,0
10100,7.413,50400,0.404761905,4,1,20400,0
8700,6.831,44900,0.331848552,3,0,14900,0
11000,7.808,54100,0.445471349,5,1,24100,0
8400,6.702,43700,0.313501144,3,0,13700,0
8300,6.646,43100,0.303944316,2,0,13100,0
11000,7.805,54000,0.444444444,5,1,24000,0
9800,7.307,49400,0.392712551,4,0,19400,0
11200,7.905,55000,0.454545455,5,1,25000,0
9500,7.154,47900,0.373695198,4,0,17900,0
11200,7.871,54700,0.451553931,5,1,24700,0
10600,7.638,52500,0.428571429,5,1,22500,0
9700,7.236,48700,0.383983573,4,0,18700,0
9600,7.222,48600,0.382716049,4,0,18600,0
8100,6.586,42600,0.295774648,2,0,12600,0
7700,6.394,40800,0.264705882,2,0,10800,0
8800,6.883,45400,0.339207048,3,0,15400,0
10600,7.637,52500,0.428571429,5,1,22500,0
7800,6.441,41200,0.27184466,2,0,11200,0
9000,6.958,46100,0.349240781,3,0,16100,0
10000,7.385,50100,0.401197605,4,1,20100,0
9100,6.982,46300,0.352051836,3,0,16300,0
7700,6.391,40700,0.262899263,2,0,10700,0
9900,7.348,49700,0.39637827,4,0,19700,0
9100,7.01,46600,0.356223176,3,0,16600,0
8300,6.669,43400,0.30875576,3,0,13400,0
7800,6.441,41200,0.27184466,2,0,11200,0
9000,6.932,45800,0.344978166,3,0,15800,0
10800,7.723,53300,0.437148218,5,1,23300,0
10000,7.375,50000,0.4,4,1,20000,0
8700,6.812,44700,0.32885906,3,0,14700,0
7900,6.468,41500,0.277108434,2,0,11500,0
10500,7.569,51800,0.420849421,4,1,21800,0
11200,7.899,54900,0.453551913,5,1,24900,0
9600,7.189,48300,0.378881988,4,0,18300,0
12100,8.287,58600,0.488054608,6,1,28600,0
10800,7.718,53200,0.436090226,5,1,23200,0
9800,7.27,49000,0.387755102,4,0,19000,0
6300,5.823,35400,0.152542373,1,0,5400,0
8200,6.612,42800,0.299065421,2,0,12800,0
9100,6.986,46300,0.352051836,3,0,16300,0
9400,7.101,47400,0.367088608,3,0,17400,0
9500,7.143,47800,0.372384937,4,0,17800,0
10700,7.664,52700,0.430740038,5,1,22700,0
9300,7.07,47100,0.363057325,3,0,17100,0
10000,7.37,49900,0.398797595,4,0,19900,0
9700,7.262,48900,0.386503067,4,0,18900,0
8100,6.584,42600,0.295774648,2,0,12600,0
8800,6.86,45200,0.336283186,3,0,15200,0
9900,7.337,49600,0.39516129,4,0,19600,0
7800,6.458,41400,0.275362319,2,0,11400,0
9800,7.305,49300,0.39148073,4,0,19300,0
8700,6.81,44700,0.32885906,3,0,14700,0
9700,7.235,48700,0.383983573,4,0,18700,0
11100,7.859,54600,0.450549451,5,1,24600,0
12100,8.284,58600,0.488054608,6,1,28600,0
8000,6.54,42100,0.287410926,2,0,12100,0
9900,7.319,49500,0.393939394,4,0,19500,0
9200,7.015,46600,0.356223176,3,0,16600,0
9400,7.102,47400,0.367088608,3,0,17400,0
10700,7.692,53000,0.433962264,5,1,23000,0
9600,7.211,48500,0.381443299,4,0,18500,0
11400,7.972,55600,0.460431655,5,1,25600,0
11900,8.167,57500,0.47826087,6,1,27500,0
10100,7.429,50500,0.405940594,4,1,20500,0
9100,6.991,46400,0.353448276,3,0,16400,0
9800,7.278,49100,0.389002037,4,0,19100,0
9800,7.286,49200,0.390243902,4,0,19200,0
8100,6.568,42400,0.29245283,2,0,12400,0
8700,6.819,44800,0.330357143,3,0,14800,0
8900,6.898,45500,0.340659341,3,0,15500,0
11100,7.845,54400,0.448529412,5,1,24400,0
10500,7.599,52100,0.424184261,4,1,22100,0
8400,6.709,43700,0.313501144,3,0,13700,0
9200,7.022,46700,0.357601713,3,0,16700,0
7000,6.091,37900,0.208443272,1,0,7900,0
9500,7.167,48000,0.375,4,0,18000,0
11200,7.904,55000,0.454545455,5,1,25000,0
18800,11.109,85100,0.647473561,12,2,55100,0
10800,7.713,53200,0.436090226,5,1,23200,0
9400,7.137,47800,0.372384937,3,0,17800,0
8300,6.647,43100,0.303944316,2,0,13100,0
9900,7.318,49500,0.393939394,4,0,19500,0
9000,6.946,46000,0.347826087,3,0,16000,0
10100,7.42,50400,0.404761905,4,1,20400,0
10300,7.486,51000,0.411764706,4,1,21000,0
8600,6.769,44300,0.322799097,3,0,14300,0
9500,7.182,48200,0.377593361,4,0,18200,0
8500,6.735,44000,0.318181818,3,0,14000,0
8700,6.839,45000,0.333333333,3,0,15000,0
8100,6.584,42600,0.295774648,2,0,12600,0
9300,7.074,47200,0.36440678,3,0,17200,0
9600,7.214,48500,0.381443299,4,0,18500,0
10900,7.757,53600,0.440298507,5,1,23600,0
8800,6.871,45300,0.337748344,3,0,15300,0
8600,6.781,44400,0.324324324,3,0,14400,0
9900,7.315,49400,0.392712551,4,0,19400,0
9800,7.285,49200,0.390243902,4,0,19200,0
9300,7.091,47300,0.365750529,3,0,17300,0
10900,7.757,53600,0.440298507,5,1,23600,0
8700,6.82,44800,0.330357143,3,0,14800,0
10300,7.495,51100,0.412915851,4,1,21100,0
6900,6.06,37600,0.20212766,1,0,7600,0
12400,8.41,59700,0.497487437,6,1,29700,0
8600,6.783,44400,0.324324324,3,0,14400,0
9900,7.33,49600,0.39516129,4,0,19600,0
9300,7.069,47100,0.363057325,3,0,17100,0
9000,6.933,45800,0.344978166,3,0,15800,0
7900,6.487,41600,0.278846154,2,0,11600,0
7700,6.417,41000,0.268292683,2,0,11000,0
8400,6.703,43700,0.313501144,3,0,13700,0
11700,8.085,56700,0.470899471,6,1,26700,0
11300,7.944,55400,0.458483755,5,1,25400,0
11300,7.92,55100,0.45553539,5,1,25100,0
11300,7.924,55200,0.456521739,5,1,25200,0
11600,8.072,56600,0.469964664,5,1,26600,0
9300,7.068,47100,0.363057325,3,0,17100,0
9100,6.976,46200,0.350649351,3,0,16200,0
9300,7.062,47100,0.363057325,3,0,17100,0
6800,6.009,37100,0.191374663,1,0,7100,0
10900,7.764,53700,0.441340782,5,1,23700,0
8200,6.603,42700,0.297423888,2,0,12700,0
9000,6.948,46000,0.347826087,3,0,16000,0
9700,7.256,48900,0.386503067,4,0,18900,0
9800,7.304,49300,0.39148073,4,0,19300,0
7200,6.174,38700,0.224806202,1,0,8700,0
11100,7.839,54400,0.448529412,5,1,24400,0
10300,7.487,51100,0.412915851,4,1,21100,0
9200,7.018,46600,0.356223176,3,0,16600,0
8500,6.744,44100,0.319727891,3,0,14100,0
10000,7.354,49800,0.397590361,4,0,19800,0
8500,6.74,44000,0.318181818,3,0,14000,0
9400,7.134,47700,0.371069182,3,0,17700,0
10600,7.62,52300,0.426386233,5,1,22300,0
8800,6.858,45100,0.33481153,3,0,15100,0
9900,7.35,49800,0.397590361,4,0,19800,0
10300,7.486,51000,0.411764706,4,1,21000,0
12000,8.228,58000,0.482758621,6,1,28000,0
7800,6.461,41400,0.275362319,2,0,11400,0
6600,5.924,36300,0.173553719,1,0,6300,0
7700,6.377,40600,0.261083744,2,0,10600,0
9200,7.023,46700,0.357601713,3,0,16700,0
10400,7.541,51600,0.418604651,4,1,21600,0
7800,6.423,41000,0.268292683,2,0,11000,0
17000,10.343,77900,0.614890886,10,2,47900,0
10300,7.485,51000,0.411764706,4,1,21000,0
9600,7.193,48300,0.378881988,4,0,18300,0
10700,7.671,52800,0.431818182,5,1,22800,0
8700,6.833,44900,0.331848552,3,0,14900,0
7900,6.475,41500,0.277108434,2,0,11500,0
10500,7.579,51900,0.421965318,4,1,21900,0
8700,6.829,44900,0.331848552,3,0,14900,0
11500,7.994,55800,0.462365591,5,1,25800,0
9700,7.23,48600,0.382716049,4,0,18600,0
10100,7.431,50500,0.405940594,4,1,20500,0
10400,7.547,51600,0.418604651,4,1,21600,0
7800,6.458,41400,0.275362319,2,0,11400,0
8700,6.842,45000,0.333333333,3,0,15000,0
8200,6.625,42900,0.300699301,2,0,12900,0
8800,6.875,45300,0.337748344,3,0,15300,0
7900,6.48,41600,0.278846154,2,0,11600,0
9200,7.043,46900,0.360341151,3,0,16900,0
9800,7.29,49200,0.390243902,4,0,19200,0
7800,6.419,41000,0.268292683,2,0,11000,0
7300,6.223,39200,0.234693878,2,0,9200,0
9600,7.224,48600,0.382716049,4,0,18600,0
7900,6.487,41600,0.278846154,2,0,11600,0
8900,6.924,45800,0.344978166,3,0,15800,0
10300,7.508,51200,0.4140625,4,1,21200,0
9300,7.059,47000,0.361702128,3,0,17000,0
10300,7.482,51000,0.411764706,4,1,21000,0
10200,7.444,50600,0.407114625,4,1,20600,0
9300,7.072,47100,0.363057325,3,0,17100,0
10300,7.501,51200,0.4140625,4,1,21200,0
8300,6.639,43100,0.303944316,2,0,13100,0
10500,7.586,52000,0.423076923,4,1,22000,0
11000,7.791,53900,0.443413729,5,1,23900,0
10000,7.394,50200,0.402390438,4,1,20200,0
10400,7.566,51800,0.420849421,4,1,21800,0
11100,7.853,54500,0.449541284,5,1,24500,0
10300,7.507,51200,0.4140625,4,1,21200,0
8700,6.801,44600,0.32735426,3,0,14600,0
8700,6.839,45000,0.333333333,3,0,15000,0
8700,6.815,44700,0.32885906,3,0,14700,0
9000,6.936,45900,0.346405229,3,0,15900,0
8300,6.671,43400,0.30875576,3,0,13400,0
20000,11.613,89900,0.666295884,13,2,59900,0
8900,6.919,45700,0.343544858,3,0,15700,0
11100,7.86,54600,0.450549451,5,1,24600,0
10300,7.514,51300,0.415204678,4,1,21300,0
9100,6.975,46200,0.350649351,3,0,16200,0
8500,6.738,44000,0.318181818,3,0,14000,0
7800,6.429,41100,0.270072993,2,0,11100,0
8900,6.891,45400,0.339207048,3,0,15400,0
10100,7.432,50500,0.405940594,4,1,20500,0
9800,7.301,49300,0.39148073,4,0,19300,0
8500,6.744,44100,0.319727891,3,0,14100,0
9600,7.192,48300,0.378881988,4,0,18300,0
9800,7.287,49200,0.390243902,4,0,19200,0
9800,7.28,49100,0.389002037,4,0,19100,0
8700,6.836,44900,0.331848552,3,0,14900,0
9700,7.25,48800,0.385245902,4,0,18800,0
7700,6.392,40700,0.262899263,2,0,10700,0
9900,7.339,49700,0.39637827,4,0,19700,0
8300,6.645,43100,0.303944316,2,0,13100,0
10600,7.62,52300,0.426386233,5,1,22300,0
8300,6.652,43200,0.305555556,2,0,13200,0
9700,7.236,48700,0.383983573,4,0,18700,0
7800,6.442,41200,0.27184466,2,0,11200,0
9700,7.237,48700,0.383983573,4,0,18700,0
11200,7.87,54700,0.451553931,5,1,24700,0
11300,7.911,55000,0.454545455,5,1,25000,0
8700,6.829,44900,0.331848552,3,0,14900,0
8300,6.662,43300,0.307159353,2,0,13300,0
7600,6.36,40400,0.257425743,2,0,10400,0
10500,7.578,51900,0.421965318,4,1,21900,0
8600,6.78,44400,0.324324324,3,0,14400,0
9000,6.959,46100,0.349240781,3,0,16100,0
10200,7.468,50900,0.410609037,4,1,20900,0
8000,6.529,42000,0.285714286,2,0,12000,0
8800,6.867,45200,0.336283186,3,0,15200,0
8700,6.806,44600,0.32735426,3,0,14600,0
10700,7.663,52700,0.430740038,5,1,22700,0
10200,7.466,50900,0.410609037,4,1,20900,0
9200,7.051,46900,0.360341151,3,0,16900,0
9800,7.289,49200,0.390243902,4,0,19200,0
10000,7.376,50000,0.4,4,1,20000,0
9000,6.962,46100,0.349240781,3,0,16100,0
10500,7.596,52100,0.424184261,4,1,22100,0
9300,7.082,47200,0.36440678,3,0,17200,0
12800,8.572,61300,0.510603589,7,1,31300,0
10400,7.555,51700,0.419729207,4,1,21700,0
9900,7.329,49600,0.39516129,4,0,19600,0
8700,6.84,45000,0.333333333,3,0,15000,0
9600,7.199,48300,0.378881988,4,0,18300,0
9900,7.335,49600,0.39516129,4,0,19600,0
8500,6.724,43900,0.316628702,3,0,13900,0
10000,7.364,49900,0.398797595,4,0,19900,0
7700,6.412,40900,0.266503667,2,0,10900,0
10000,7.372,50000,0.4,4,0,20000,0
9500,7.169,48100,0.376299376,4,0,18100,0
10200,7.465,50800,0.409448819,4,1,20800,0
10400,7.555,51700,0.419729207,4,1,21700,0
8200,6.612,42800,0.299065421,2,0,12800,0
6700,5.972,36800,0.184782609,1,0,6800,0
9600,7.189,48200,0.377593361,4,0,18200,0
10400,7.531,51500,0.417475728,4,1,21500,0
9300,7.075,47200,0.36440678,3,0,17200,0
8200,6.629,43000,0.302325581,2,0,13000,0
9100,7.01,46600,0.356223176,3,0,16600,0
12000,8.227,58000,0.482758621,6,1,28000,0
8200,6.604,42700,0.297423888,2,0,12700,0
7800,6.448,41300,0.273607748,2,0,11300,0
9700,7.256,48900,0.386503067,4,0,18900,0
9600,7.204,48400,0.380165289,4,0,18400,0
9800,7.311,49400,0.392712551,4,0,19400,0
8100,6.564,42400,0.29245283,2,0,12400,0
8800,6.88,45300,0.337748344,3,0,15300,0
11000,7.8,54000,0.444444444,5,1,24000,0
7000,6.099,38000,0.210526316,1,0,8000,0
7600,6.358,40400,0.257425743,2,0,10400,0
9400,7.112,47500,0.368421053,3,0,17500,0
9100,7.012,46600,0.356223176,3,0,16600,0
10100,7.41,50300,0.403578529,4,1,20300,0
10100,7.397,50200,0.402390438,4,1,20200,0
10600,7.637,52500,0.428571429,5,1,22500,0
9300,7.068,47100,0.363057325,3,0,17100,0
11000,7.818,54200,0.446494465,5,1,24200,0
7400,6.29,39800,0.246231156,2,0,9800,0
11000,7.786,53900,0.443413729,5,1,23900,0
8600,6.795,44500,0.325842697,3,0,14500,0
9300,7.088,47300,0.365750529,3,0,17300,0
8400,6.71,43700,0.313501144,3,0,13700,0
9500,7.154,47900,0.373695198,4,0,17900,0
11700,8.094,56800,0.471830986,6,1,26800,0
9800,7.303,49300,0.39148073,4,0,19300,0
9800,7.274,49000,0.387755102,4,0,19000,0
10600,7.634,52400,0.427480916,5,1,22400,0
9900,7.329,49600,0.39516129,4,0,19600,0
9200,7.042,46900,0.360341151,3,0,16900,0
9700,7.257,48900,0.386503067,4,0,18900,0
7100,6.148,38500,0.220779221,1,0,8500,0
9700,7.245,48800,0.385245902,4,0,18800,0
8900,6.915,45700,0.343544858,3,0,15700,0
9100,7.003,46500,0.35483871,3,0,16500,0
9200,7.016,46600,0.356223176,3,0,16600,0
9000,6.942,45900,0.346405229,3,0,15900,0
13200,8.722,62700,0.5215311,7,1,32700,0
8200,6.599,42700,0.297423888,2,0,12700,0
9000,6.952,46000,0.347826087,3,0,16000,0
10600,7.629,52400,0.427480916,5,1,22400,0
9200,7.041,46900,0.360341151,3,0,16900,0
9200,7.017,46600,0.356223176,3,0,16600,0
9000,6.966,46100,0.349240781,3,0,16100,0
9700,7.266,49000,0.387755102,4,0,19000,0
11800,8.129,57100,0.474605954,6,1,27100,0
7700,6.389,40700,0.262899263,2,0,10700,0
10100,7.413,50400,0.404761905,4,1,20400,0
9000,6.966,46200,0.350649351,3,0,16200,0
9700,7.236,48700,0.383983573,4,0,18700,0
9300,7.069,47100,0.363057325,3,0,17100,0
11100,7.835,54300,0.447513812,5,1,24300,0
9000,6.945,46000,0.347826087,3,0,16000,0
9900,7.351,49800,0.397590361,4,0,19800,0
9000,6.952,46000,0.347826087,3,0,16000,0
7800,6.423,41000,0.268292683,2,0,11000,0
5200,5.34,30800,0.025974026,0,0,800,0
11100,7.829,54300,0.447513812,5,1,24300,0
10600,7.648,52600,0.429657795,5,1,22600,0
6900,6.063,37600,0.20212766,1,0,7600,0
9300,7.091,47300,0.365750529,3,0,17300,0
9800,7.279,49100,0.389002037,4,0,19100,0
8700,6.829,44900,0.331848552,3,0,14900,0
9400,7.129,47700,0.371069182,3,0,17700,0
9600,7.215,48500,0.381443299,4,0,18500,0
13500,8.848,63900,0.530516432,7,1,33900,0
8900,6.914,45700,0.343544858,3,0,15700,0
7400,6.263,39500,0.240506329,2,0,9500,0
9800,7.276,49100,0.389002037,4,0,19100,0
7300,6.24,39300,0.236641221,2,0,9300,0
8000,6.53,42100,0.287410926,2,0,12100,0
9200,7.027,46700,0.357601713,3,0,16700,0
8500,6.728,43900,0.316628702,3,0,13900,0
9500,7.167,48000,0.375,4,0,18000,0
7500,6.301,39900,0.248120301,2,0,9900,0
7300,6.233,39300,0.236641221,2,0,9300,0
9400,7.11,47500,0.368421053,3,0,17500,0
11000,7.801,54000,0.444444444,5,1,24000,0
10000,7.367,49900,0.398797595,4,0,19900,0
11000,7.805,54100,0.445471349,5,1,24100,0
9600,7.21,48400,0.380165289,4,0,18400,0
20800,11.985,93400,0.678800857,14,3,63400,0
9000,6.946,46000,0.347826087,3,0,16000,0
9600,7.195,48300,0.378881988,4,0,18300,0
9700,7.238,48700,0.383983573,4,0,18700,0
10800,7.715,53200,0.436090226,5,1,23200,0
9400,7.126,47700,0.371069182,3,0,17700,0
10900,7.758,53600,0.440298507,5,1,23600,0
9500,7.164,48000,0.375,4,0,18000,0
10500,7.606,52200,0.425287356,4,1,22200,0
8000,6.525,42000,0.285714286,2,0,12000,0
10300,7.493,51100,0.412915851,4,1,21100,0
9100,7,46500,0.35483871,3,0,16500,0
9400,7.133,47700,0.371069182,3,0,17700,0
10700,7.676,52800,0.431818182,5,1,22800,0
8000,6.522,42000,0.285714286,2,0,12000,0
8500,6.732,43900,0.316628702,3,0,13900,0
9900,7.312,49400,0.392712551,4,0,19400,0
11000,7.785,53900,0.443413729,5,1,23900,0
9600,7.216,48500,0.381443299,4,0,18500,0
10100,7.413,50400,0.404761905,4,1,20400,0
9900,7.335,49600,0.39516129,4,0,19600,0
9800,7.301,49300,0.39148073,4,0,19300,0
8700,6.804,44600,0.32735426,3,0,14600,0
10000,7.377,50000,0.4,4,1,20000,0
11300,7.913,55100,0.45553539,5,1,25100,0
8100,6.56,42300,0.290780142,2,0,12300,0
9700,7.248,48800,0.385245902,4,0,18800,0
7600,6.364,40500,0.259259259,2,0,10500,0
10300,7.483,51000,0.411764706,4,1,21000,0
8800,6.872,45300,0.337748344,3,0,15300,0
10000,7.391,50200,0.402390438,4,1,20200,0
8000,6.533,42100,0.287410926,2,0,12100,0
10100,7.422,50400,0.404761905,4,1,20400,0
11300,7.945,55400,0.458483755,5,1,25400,0
9900,7.346,49700,0.39637827,4,0,19700,0
12100,8.263,58400,0.48630137,6,1,28400,0
9800,7.303,49300,0.39148073,4,0,19300,0
9000,6.955,46000,0.347826087,3,0,16000,0
8700,6.824,44800,0.330357143,3,0,14800,0
10200,7.454,50700,0.408284024,4,1,20700,0
8800,6.853,45100,0.33481153,3,0,15100,0
10600,7.638,52500,0.428571429,5,1,22500,0
11000,7.784,53900,0.443413729,5,1,23900,0
11200,7.875,54700,0.451553931,5,1,24700,0
9100,6.992,46400,0.353448276,3,0,16400,0
9000,6.951,46000,0.347826087,3,0,16000,0
8900,6.924,45800,0.344978166,3,0,15800,0
7100,6.149,38500,0.220779221,1,0,8500,0
8700,6.816,44700,0.32885906,3,0,14700,0
8300,6.654,43200,0.305555556,2,0,13200,0
9700,7.255,48900,0.386503067,4,0,18900,0
17000,10.357,78100,0.615877081,10,2,48100,0
8800,6.849,45100,0.33481153,3,0,15100,0
8500,6.75,44100,0.319727891,3,0,14100,0
9800,7.299,49300,0.39148073,4,0,19300,0
9100,6.991,46400,0.353448276,3,0,16400,0
9800,7.299,49300,0.39148073,4,0,19300,0
8600,6.786,44500,0.325842697,3,0,14500,0
7700,6.382,40700,0.262899263,2,0,10700,0
8800,6.847,45000,0.333333333,3,0,15000,0
7500,6.293,39800,0.246231156,2,0,9800,0
9800,7.271,49000,0.387755102,4,0,19000,0
8700,6.822,44800,0.330357143,3,0,14800,0
9800,7.289,49200,0.390243902,4,0,19200,0
10800,7.699,53000,0.433962264,5,1,23000,0
9500,7.164,48000,0.375,4,0,18000,0
11000,7.795,53900,0.443413729,5,1,23900,0
7000,6.111,38100,0.212598425,1,0,8100,0
9400,7.112,47500,0.368421053,3,0,17500,0
10500,7.588,52000,0.423076923,4,1,22000,0
9600,7.208,48400,0.380165289,4,0,18400,0
8500,6.746,44100,0.319727891,3,0,14100,0
10600,7.631,52400,0.427480916,5,1,22400,0
9900,7.322,49500,0.393939394,4,0,19500,0
7100,6.144,38400,0.21875,1,0,8400,0
10200,7.449,50700,0.408284024,4,1,20700,0
9400,7.141,47800,0.372384937,4,0,17800,0
9800,7.27,49000,0.387755102,4,0,19000,0
7800,6.435,41200,0.27184466,2,0,11200,0
10700,7.679,52900,0.43289225,5,1,22900,0
7700,6.392,40800,0.264705882,2,0,10800,0
7300,6.234,39300,0.236641221,2,0,9300,0
10300,7.506,51200,0.4140625,4,1,21200,0
